Env,Rep,Block,Genotype,Female,Male,PED,PHT,EHT,LAE,LAT,LATP,LAI,DTA,DTS,ASI,SDL,SDU,TW,TSL,TBN,KW,KL,KD,KS,KPP,CAN,ZIP,SC,PBP,LDR,LDS,EL,FILL,STG,EW,ERW,KRW,TWA,IPY,TGY
MF400,1,16,0,MOB-C1-059-DH-010,RHM-C1-036-DH-024,MOB-C1-059-DH-010 X RHM-C1-036-DH-024,155,70,542.57,2835,38723.53,3.2433814,62,67,5,15.472,9.516666667,3.06,40.78,7.4,77.5,101.5,50,393312.5,396.8,66,64,93,11.83,13.98,4.3,132.6,104.8,4,41,16,24.8,56.2989452,0.03998569,4575.242135
MF400,2,16,0,MOB-C1-059-DH-010,RHM-C1-036-DH-024,MOB-C1-059-DH-010 X RHM-C1-036-DH-024,160,80,618.76,3233.08,32764.52,3.738580295,60,63,3,16.438,9.063333333,2.16,36.88,6.8,75.5,103,49.5,384936.75,294.8,64,84,94,5.32,6.38,1.06,140.6,117.6,3,43.8,13.4,22,52.45822485,0.046179401,5340.755476
MF400,3,10,0,MOB-C1-059-DH-010,RHM-C1-036-DH-024,MOB-C1-059-DH-010 X RHM-C1-036-DH-024,147,83,660.25,3449.87,46776.94,3.989265046,60,64,4,19.834,8.603333333,2.24,40.36,5.6,75.5,106,46.5,372139.5,359.64,67,36,94,11.7,21.28,0,139.2,108.2,2,44,16.2,22.2,52.45822485,0.037717302,4362.093961
MF400,1,12,1,MOB-C1-010-DH-001,RHM-C1-035-DH-002,MOB-C1-010-DH-001 X RHM-C1-035-DH-002,165,90,474.84,2481.09,21009.97,2.838486762,64,66,2,20.125,9.03,2.68,39.52,11.4,65.5,100,42.5,278375,508.68,65,32,93,4.3,4.3,24.73,133,112,2,40.6,16.2,31.4,59.07692308,0.058162942,6655.119508
MF400,2,16,1,MOB-C1-010-DH-001,RHM-C1-035-DH-002,MOB-C1-010-DH-001 X RHM-C1-035-DH-002,175,85,513.36,2682.34,28583.43,3.10172784,62,67,5,15.999,7.413333333,2.62,39.64,13.4,68.5,96.5,49.5,327207.38,305.94,62,20,94,6.38,11.7,28.72,121.6,104.2,2,37.6,13.75,22.25,55.60236686,0.044369968,5131.490335
MF400,3,14,1,MOB-C1-010-DH-001,RHM-C1-035-DH-002,MOB-C1-010-DH-001 X RHM-C1-035-DH-002,168,85,597.85,3123.84,30642.5,3.612261121,62,66,4,17.271,7.6,2.42,39.18,13.2,63.5,91,40.5,234029.25,395.28,63,24,94,2.13,93.62,0,125.4,110,1,40.8,16.2,24.4,53.27455621,0.048200845,5574.540144
MF400,1,3,2,MOB-C1-007-SSD-013,MOB-C1-036-SSD-003,MOB-C1-007-SSD-013 X MOB-C1-036-SSD-003,168,75,672.15,3512.03,81646.77,4.104349002,66,70,4,18.442,7.463333333,2.83,39.1,10.5,77.5,103.5,50,401062.5,322,66,4,95,12.63,0,5.26, ,119,7,44.5,14,23,57.41897696,0.021150696,2472.149998
MF400,2,6,2,MOB-C1-007-SSD-013,MOB-C1-036-SSD-003,MOB-C1-007-SSD-013 X MOB-C1-036-SSD-003,178,80,643.13,3360.4,36973.16,3.927143321,65,69,4,18.775,9.396666667,2.8,40.7,9.8,78,115,42,376740,356.44,66,70,95,4.21,0,3.16,135.2,116.4,7,43.4,13.4,26.6,52.53713018,0.043388272,5071.337376
MF400,3,19,2,MOB-C1-007-SSD-013,MOB-C1-036-SSD-003,MOB-C1-007-SSD-013 X MOB-C1-036-SSD-003,172,80,791.62,4136.29,69168.04,4.783009459,65,67,2,20.489,8.266666667,2.54,37.82,12,78,92.5,54.5,393217.5,239.4,67,44,94,6.38,0,2.13,122.8,103,5,38,12.6,19,54.9703791,0.029140088,3370.119102
MF400,1,2,3,MOB-C1-010-DH-003,MOB-C1-061-SSD-020,MOB-C1-010-DH-003 X MOB-C1-061-SSD-020,195,105,591.31,3089.64,30512.08,3.648720836,67,69,2,16.082,7.03,2.24,30.46,14.4,64.5,114.5,41,302795.25,374.92,67,0,96,22.92,0,1.04,90.2,80.2,5,42.4,18.2,20.6,57.7134623,0.046879382,5537.06538
MF400,2,2,3,MOB-C1-010-DH-003,MOB-C1-061-SSD-020,MOB-C1-010-DH-003 X MOB-C1-061-SSD-020, , , , , , , , , , , , , , , , , , , , , ,84, , , , , , , , , , , , 
MF400,3,10,3,MOB-C1-010-DH-003,MOB-C1-061-SSD-020,MOB-C1-010-DH-003 X MOB-C1-061-SSD-020,182,105,567.59,2965.71,35064.08,3.174026995,66,68,2,16.481,6.663333333,1.54,31.98,9.8,65,123.5,43,345182.5,453.84,66,6,87,9.2,3.45,0,107.2,89,3,46.8,18.6,24.4,58.17372781,0.047617078,5096.928484
MF400,1,11,4,MOB-C1-059-DH-003,RHM-C1-036-DH-014,MOB-C1-059-DH-003 X RHM-C1-036-DH-014,166,81,508.83,2658.67,28677.92,2.943533626,66,70,4,15.784,9.433333333,2.1,36.08,9.5,77,105,49,396165,396.24,66,0,90,5.56,0,0,140.8,112.4,7,41.4,15.6,25.4,51.54461538,0.043913043,4862.53323
MF400,2,8,4,MOB-C1-059-DH-003,RHM-C1-036-DH-014,MOB-C1-059-DH-003 X RHM-C1-036-DH-014,187,94,587.86,3071.61,51907.95,3.551860738,64,67,3,16.913,7.843333333,1.78,35.84,10,68,96,52.5,342720,236.52,66,50,94,9.57,0,1.06,105,83.2,6,38.6,14.6,16.2,53.43668639,0.029405798,3400.849147
MF400,3,7,4,MOB-C1-059-DH-003,RHM-C1-036-DH-014,MOB-C1-059-DH-003 X RHM-C1-036-DH-014,184,95,669.21,3496.67,58124.81,4.129411092,64,67,3,19.908,8.173333333,2.46,37.98,9,76,103,50.5,395314,446.88,67,6,96,10.42,0,2.08,130.4,107.6,6,42.8,16.25,27.5,49.6852071,0.031261239,3692.359407
MF400,1,1,5,MOB-C1-007-SSD-024,MOB-C1-061-SSD-007,MOB-C1-007-SSD-024 X MOB-C1-061-SSD-007,187,100,557.17,2911.25,36982.49,3.223177805,68,69,1,19.345,8.33,3.56,37.6,16.4,76.5,123,42.5,399903.75,467.2,68,0,90,17.78,0,1.11,133.4,116.6,8,45.2,16,29.2, ,0.034113863,3777.460728
MF400,2,9,5,MOB-C1-007-SSD-024,MOB-C1-061-SSD-007,MOB-C1-007-SSD-024 X MOB-C1-061-SSD-007,180,82,529.01,2764.11,50208.01,3.230289001,67,72,5,16.584,8.853333333,3.08,40.66,15.4,70.5,118.5,44,367587,286.76,63,26,95,13.68,0,2.11,102.6,91.2,4,40.4,13.4,21.4, ,0.026807157,3133.292274
MF400,3,18,5,MOB-C1-007-SSD-024,MOB-C1-061-SSD-007,MOB-C1-007-SSD-024 X MOB-C1-061-SSD-007,202,102,590.63,3086.1,55481.64,3.568617363,66,71,5,18.884,6.636666667,2.66,37.64,12.6,78,113,41,361374,324.12,63,12,94,32.98,0,3.19,106.8,89.6,3,42.6,14.6,22.2, ,0.023884403,2762.286981
MF400,1,6,6,MOB-C1-059-DH-005,RHM-C1-035-DH-041,MOB-C1-059-DH-005 X RHM-C1-035-DH-041,160,85,478.73,2501.43,28770.62,2.892531848,63,65,2,16.79,7.173333333,1.64,37.84,7.6,77.5,102,51.5,407107.5,309.96,66,28,94,7.45,0,3.19,129.4,108.8,7,40.4,12.6,24.6,55.00929839,0.045722415,5287.90396
MF400,2,3,6,MOB-C1-059-DH-005,RHM-C1-035-DH-041,MOB-C1-059-DH-005 X RHM-C1-035-DH-041,191,95,626.57,3273.89,35534.88,3.866316994,60,63,3,15.891,7.643333333,1.12,36.32,6.4,75,101.5,48.5,369206.25,322,63,12,96,6.25,8.33,6.25,138.2,96,3,38.6,14,23,54.57053254,0.048746955,5757.650101
MF400,3,20,6,MOB-C1-059-DH-005,RHM-C1-035-DH-041,MOB-C1-059-DH-005 X RHM-C1-035-DH-041,168,82,595.66,3112.37,22571.88,3.675562975,61,62,1,16.98,6.43,1.2,37,4.4,80.5,105.5,43.5,369434.63,387.76, ,2,96,10.42,2.08,5.21,156.4,122.8,3,41.4,14.8,26.2,56.79538462,0.048203084,5693.41183
MF400,1,20,10,MOB-C1-007-SSD-032,MOB-C1-035-DH-005,MOB-C1-007-SSD-032 X MOB-C1-035-DH-005,174,82,373.19,1949.97,21339.13,2.302829256,66,69,3,16.861,6.94,2.58,31.86,13.8,64,97.5,46,287040,330.72,65,68,96,0,3.13,35.42,94.2,73.6,5,35.4,15.6,21.2,54.90733728,0.039715475,4690.914698
MF400,2,7,10,MOB-C1-007-SSD-032,MOB-C1-035-DH-005,MOB-C1-007-SSD-032 X MOB-C1-035-DH-005,174,84,411.72,2151.3,44977.9,2.646440343,65,72,7,17.008,7.823333333,2.14,30.36,11.4,68.5,93.5,57.5,368273.13,251.63,66,24,100,5,0,3,101.8,83.2,7,37,15.25,16.5, ,0.024511549,3015.763653
MF400,3,6,10,MOB-C1-007-SSD-032,MOB-C1-035-DH-005,MOB-C1-007-SSD-032 X MOB-C1-035-DH-005,171,90,393.84,2057.84,25496.16,2.379581746,64,68,4,18.17,6.443333333,2,29.78,14.6,67.5,91,50,307125,230.85,64,0,94,5.32,0,4.26,101.4,84.5,5,38.75,14.25,16.2,57.98532544,0.043223754,4998.927937
MF400,1,1,11,MOB-C1-007-DH-002,MOB-C1-061-SSD-016,MOB-C1-007-DH-002 X MOB-C1-061-SSD-016,194,120,590.63,3086.12,41489.39,3.758458647,67,70,3,18.388,7.893333333,2.36,36.16,9.4,75.5,117,45.5,401924.25,296.44,64,10,99,29.29,0,2.02,109,67.75,4,42.25,15.33333333,19.33333333,42.69420118,0.025556008,3112.825358
MF400,2,10,11,MOB-C1-007-DH-002,MOB-C1-061-SSD-016,MOB-C1-007-DH-002 X MOB-C1-061-SSD-016,191,110,578.35,3021.94,42701.68,3.605945034,67,71,4,20.323,7.123333333,1.88,35.8,11,77.5,118,41,374945,228.96,63,90,97,9.28,0,0,114.6,88,3,40.4,10.8,21.2, ,0.034741562,4146.174884
MF400,3,1,11,MOB-C1-007-DH-002,MOB-C1-061-SSD-016,MOB-C1-007-DH-002 X MOB-C1-061-SSD-016,184,93,571.64,2986.88,39241.59,3.527365572,67,70,3,15.031,7.616666667,1.73,34.3,9,80,112.5,45,405000,305.52,64,40,96,18.75,0,0,133,113,3,41,13.4,22.8, ,0.03559803,4204.590815
MF400,1,1,12,MOB-C1-010-DH-001,MOB-C1-061-SSD-017,MOB-C1-010-DH-001 X MOB-C1-061-SSD-017,194,100,594.37,3105.64,17211.38,3.744032283,67,70,3,19.188,9.31,2.56,39.22,13.8,77.5,115,45.5,405518.75,391.5,67,4,98,13.27,0,1.02,153.4,129.4,4,45.2,14.5,27,62.82820179,0.046761567,5638.215577
MF400,2,16,12,MOB-C1-010-DH-001,MOB-C1-061-SSD-017,MOB-C1-010-DH-001 X MOB-C1-061-SSD-017,179,90,665.28,3476.17,22853.54,4.105201745,65,68,3,17.113,9.433333333,2.4,43.58,14.25,72.5,112,43.5,353220,360,64,48,96,6.25,0,7.29,122.2,107.8,4,41.6,14.4,25,58.15384615,0.071856802,8487.223884
MF400,3,4,12,MOB-C1-010-DH-001,MOB-C1-061-SSD-017,MOB-C1-010-DH-001 X MOB-C1-061-SSD-017,185,103,639.49,3341.38,33600.26,4.110438191,64,68,4,18.089,8.496666667,3.02,45.5,13.6,73.5,112,41.5,341628,410.4,67,42,100,11,2,0,126,108.6,5,42.8,15.2,27,56.70556213,0.045099821,5548.829227
MF400,1,19,13,MOB-C1-007-DH-001,MOB-C1-035-SSD-027,MOB-C1-007-DH-001 X MOB-C1-035-SSD-027,175,75,536.15,2801.45,33935.14,3.273928902,63,65,2,14.458,7.916666667,1.48,34.54,7.6,71,105.5,51.5,385760.75,288.4,61,34,95,12.63,0,1.05,117.6,99.8,6,38.4,14,20.6,56.39431953,0.039015482,4560.233982
MF400,2,8,13,MOB-C1-007-DH-001,MOB-C1-035-SSD-027,MOB-C1-007-DH-001 X MOB-C1-035-SSD-027,182,80,497.3,2598.42,50187.08,3.292375802,61,64,3,17.348,8.016666667,1.75,37.3,9.5,70.5,100,49,345450,205.2,61,92,103,9.71,0.97,0,122.4,96.6,3,37.2,11.4,18,48.75727811,0.023024691,2917.81383
MF400,3,18,13,MOB-C1-007-DH-001,MOB-C1-035-SSD-027,MOB-C1-007-DH-001 X MOB-C1-035-SSD-027,164,83,424.13,2216.12,22023.87,2.753448732,61,66,5,19.055,7.366666667,2.2,37.56,9.6,77,103,49,388619,226.92,64,64,101,8.91,0,0.99,100.2,79.8,3,41.6,12.2,18.6,60.00177515,0.045634308,5670.73539
MF400,1,7,14,MOB-C1-010-DH-001,MOB-C1-061-SSD-007,MOB-C1-010-DH-001 X MOB-C1-061-SSD-007,181,90,625.72,3269.45,30964.19,3.700193979,64,70,6,16.999,10.48,2.98,45.54,12.6,77.5,110.5,39,333986.25,400.32,66,34,92,7.61,0,0,116.8,106.2,3,43.4,14.4,27.8,61.64604626,0.048926753,5538.099636
MF400,2,1,14,MOB-C1-010-DH-001,MOB-C1-061-SSD-007,MOB-C1-010-DH-001 X MOB-C1-061-SSD-007,195,100,592.63,3096.53,23900.75,3.580681328,64,68,4,19.894,10.73,2.3,43.56,11.8,80,107,44.5,380920,432.16,61,8,94,6.38,0,2.13,126.8,117.8,2,43.2,14.8,29.2,56.04142012,0.068757571,7951.973461
MF400,3,13,14,MOB-C1-010-DH-001,MOB-C1-061-SSD-007,MOB-C1-010-DH-001 X MOB-C1-061-SSD-007,195,95,653.6,3415.13,39576.92,4.033108491,62,69,7,16.499,9.546666667,2.72,46.5,13.6,73.5,118,40,346920,477.36,66,20,96,9.38,2.08,1.04,136.2,122,2,45.6,15.6,30.6,54.72923077,0.043210642,5103.739475
MF400,1,9,15,MOB-C1-007-SSD-029,MOB-C1-035-DH-004,MOB-C1-007-SSD-029 X MOB-C1-035-DH-004,188,85,607.61,3174.84,39716.69,3.749342861,65,68,3,16.162,8.71,2.86,33.58,9.8,76,106.5,50,404700,371.25,66,34,96,0,0,1.04,124.4,94.2,8,41.8,15,24.75,54.23798817,0.039273753,4638.741656
MF400,2,20,15,MOB-C1-007-SSD-029,MOB-C1-035-DH-004,MOB-C1-007-SSD-029 X MOB-C1-035-DH-004,192,80,512.63,2678.53,25528.28,3.196167689,63,69,6,16.529,7.733333333,2.28,32.72,9.8,70.5,108.5,48.5,370988.63,281.52,66,34,97,5.15,0,3.09,104.2,90.6,6,40,13.8,20.4,55.36213018,0.051509011,6147.258665
MF400,3,3,15,MOB-C1-007-SSD-029,MOB-C1-035-DH-004,MOB-C1-007-SSD-029 X MOB-C1-035-DH-004,165,105,563.31,2943.33,29130.56,3.403528353,63,67,4,18.574,6.633333333,1.46,28.96,9.2,68.5,102,45.5,317908.5,354.2,64,4,94,2.13,0,0,123,103.4,5,42.2,15.4,23,55.04378698,0.048747709,5637.786255
MF400,1,17,16,MOB-C1-010-DH-003,RHM-C1-061-DH-010,MOB-C1-010-DH-003 X RHM-C1-061-DH-010,202,102,606.81,3170.66,42045.57,3.744406376,67,70,3,17.26,8.056666667,1.8,32.3,8.6,70.5,112.5,43,341043.75,416.64,63,52,96,16.67,2.08,0,109.6,83.8,5,42.4,16.8,24.8, ,0.033843346,3997.339861
MF400,2,2,16,MOB-C1-010-DH-003,RHM-C1-061-DH-010,MOB-C1-010-DH-003 X RHM-C1-061-DH-010,215,128,540.43,2823.82,38593.64,3.265326477,67,69,2,17.854,6.97,1.54,31.28,8.2,67.5,115.5,38,296257.5,304.5,61,66,94,42.55,0,0,117.4,92.2,4,41,14.5,21, ,0.031417714,3633.531918
MF400,3,11,16,MOB-C1-010-DH-003,RHM-C1-061-DH-010,MOB-C1-010-DH-003 X RHM-C1-061-DH-010,190,100,735.86,3844.96,110881.92,4.540723161,66,67,1,17.978,6.356666667,1.1,29.4,9,70.5,101,55.5,395187.75,335,65,26,96,66.67,0,0,107.4,87.4,2,39.2,16.75,20, ,0.017364291,2050.948873
MF400,1,4,17,MOB-C1-007-SSD-002,MOB-C1-035-SSD-003,MOB-C1-007-SSD-002 X MOB-C1-035-SSD-003, , , , , , , , , , , , , , , , , , , , , ,38, , , , , , , , , , , , 
MF400,2,3,17,MOB-C1-007-SSD-002,MOB-C1-035-SSD-003,MOB-C1-007-SSD-002 X MOB-C1-035-SSD-003,186,80,512.63,2678.54,21033.35,2.899634902,61,66,5,18.661,7.826666667,2.28,38.93,8.5,71,103,44.5,325428.5,368.64,66,20,88,7.95,0,2.27,137.8,114.8,5,40.2,14.4,25.6, ,0.048565817,5258.234033
MF400,3,16,17,MOB-C1-007-SSD-002,MOB-C1-035-SSD-003,MOB-C1-007-SSD-002 X MOB-C1-035-SSD-003,155,85,608.05,3177.12,49041.54,3.673869915,60,67,7,19.328,7.36,2.04,39.42,10.4,64.5,110.5,39,277962.75,407.64,67,38,94,22.34,1.06,0,141.8,114,3,43.4,15.8,25.8, ,0.028755517,3325.642585
MF400,1,4,18,MOB-C1-059-DH-003,RHM-C1-035-DH-013,MOB-C1-059-DH-003 X RHM-C1-035-DH-013,130,70,512.15,2676.02,33019.09,3.061497627,61,64,3,17.498,8.236666667,2.74,37.04,7.4,70,110,41.5,319550,470.4,69,40,93,11.83,0,12.9,138,117.2,3,42.4,16,29.4, ,0.04189268,4793.443737
MF400,2,17,18,MOB-C1-059-DH-003,RHM-C1-035-DH-013,MOB-C1-059-DH-003 X RHM-C1-035-DH-013, , , , , , , , , , , , , , , , , , , , , ,96, , , , , , , , , , , , 
MF400,3,9,18,MOB-C1-059-DH-003,RHM-C1-035-DH-013,MOB-C1-059-DH-003 X RHM-C1-035-DH-013,160,98,559.64,2924.17,34305.9,3.381374162,60,63,3,15.709,8.866666667,2.68,39.22,7.6,64,108,41,283392,373.92,66,0,94,37.23,0,14.89,141.8,133.8,2,43.4,16.4,22.8,58.78295858,0.043180473,4993.922392
MF400,1,7,19,MOB-C1-007-SSD-011,MOB-C1-061-SSD-002,MOB-C1-007-SSD-011 X MOB-C1-061-SSD-002,155,82,574.92,3004.03,59376.34,3.473716861,68,72,4,19.183,9.15,2.42,40.56,9.6,75,98,55.5,407925,226.92,63,36,94,25.53,0,0,118,89.4,7,37.8,12.2,18.6,44.75336555,0.027826558,3218.206343
MF400,2,6,19,MOB-C1-007-SSD-011,MOB-C1-061-SSD-002,MOB-C1-007-SSD-011 X MOB-C1-061-SSD-002,191,84,612.35,3199.57,71399.45,3.699830599,66,70,4,17.721,9.92,1.94,40.76,8.8,78.5,104,45,367380,252.2,61,46,94,24.47,0,0,112,102.6,6,37.2,13,19.4,44.61455621,0.021620246,2500.431857
MF400,3,6,19,MOB-C1-007-SSD-011,MOB-C1-061-SSD-002,MOB-C1-007-SSD-011 X MOB-C1-061-SSD-002,174,84,598.25,3125.93,97092.54,3.614677942,68,74,6,15.851,8.373333333,2,37.54,8.6,68,111,45.5,343434,322.24,62,44,94,60.64,0,0,124.2,105.8,5,40,15.2,21.2, ,0.016309728,1886.258139
MF400,1,20,20,MOB-C1-059-DH-002,RHM-C1-036-DH-005,MOB-C1-059-DH-002 X RHM-C1-036-DH-005,185,86,533.08,2785.38,31366.56,3.015289211,62,66,4,17.195,6.663333333,1.6,40.9,4.8,74,100.5,50.5,375568.5,313.92,64,32,88,6.82,40.91,0,120.2,84.8,7,37.6,14.4,21.8,56.43337278,0.040272516,4360.316108
MF400,2,12,20,MOB-C1-059-DH-002,RHM-C1-036-DH-005,MOB-C1-059-DH-002 X RHM-C1-036-DH-005,181,97,550.58,2876.82,23374.05,3.432781528,61,65,4,17.566,6.91,1.32,40.24,4.2,71.5,103.5,48,355212,309,64,20,97,2.06,10.31,0,131.8,106.4,5,39.8,15,20.6,57.03467456,0.055817443,6661.441419
MF400,3,9,20,MOB-C1-059-DH-002,RHM-C1-036-DH-005,MOB-C1-059-DH-002 X RHM-C1-036-DH-005,178,101,585.3,3058.23,26035.53,3.536393084,62,66,4,16.617,7.06,1.6,40.62,5.6,71,106,48,361248,336,64,8,94,4.26,75.53,0,120.2,94,5,42.33333333,16,21,56.63289941,0.059505503,6881.950261
MF400,1,13,21,MOB-C1-007-SSD-007,MOB-C1-036-SSD-009,MOB-C1-007-SSD-007 X MOB-C1-036-SSD-009,215,100,632.71,3305.99,41208.8,3.98556311,65,68,3,18.351,6.916666667,1.75,36.28,6.5,67,105,45,316575,413.28,65,30,98,6.12,4.08,0,142,113,4,41.8,16.4,25.2,56.46004481,0.038982189,4700.227157
MF400,2,9,21,MOB-C1-007-SSD-007,MOB-C1-036-SSD-009,MOB-C1-007-SSD-007 X MOB-C1-036-SSD-009,190,100,498.67,2605.62,24190.51,3.077116975,66,69,3,19.218,6.823333333,1.94,37.74,6.6,67.5,99,43.5,290688.75,511.28,66,4,96,0,1.04,3.13,151.6,127,4,41.8,16.6,30.8,51.36923077,0.053428766,6310.632948
MF400,3,17,21,MOB-C1-007-SSD-007,MOB-C1-036-SSD-009,MOB-C1-007-SSD-007 X MOB-C1-036-SSD-009,202,109,516.61,2699.36,22251.96,3.28743696,66,69,3,17.302,6.086666667,1.68,35.44,8,64.5,96,47.5,294120,289.08,65,24,99,5.05,2.02,0,124,101.6,5,40.4,14.6,19.8,50.80047337,0.05056961,6159.583387
MF400,1,16,22,MOB-C1-007-SSD-012,MOB-C1-061-SSD-019,MOB-C1-007-SSD-012 X MOB-C1-061-SSD-019,200,90,460.78,2407.6,39705.07,2.813654141,66,69,3,15.92,8.253333333,1.58,37.42,11.2,70.5,105.5,53,394200.75,254.8,66,50,95,6.32,0,2.11,111.4,91.6,3,38.4,14,18.2, ,0.028368283,3315.760804
MF400,2,10,22,MOB-C1-007-SSD-012,MOB-C1-061-SSD-019,MOB-C1-007-SSD-012 X MOB-C1-061-SSD-019,185,77,569.01,2973.15,24721.41,3.474582889,65,69,4,17.117,6.81,1.76,35.74,10.8,68.5,110,45,339075,400,65,2,95,4.21,0,1.05,115,100.2,3,41.2,16,25,57.78674556,0.063154512,7381.668415
MF400,3,11,22,MOB-C1-007-SSD-012,MOB-C1-061-SSD-019,MOB-C1-007-SSD-012 X MOB-C1-061-SSD-019,186,97,713.6,3728.63,46500.31,4.403344889,62,68,6,17.365,7.21,2.32,40.96,15,74,115,48,408480,396,66,6,96,18.75,0,0,125.8,107,2,40.4,15,26.4,59.44970414,0.037880331,4474.160317
MF400,1,15,23,MOB-C1-059-DH-010,RHM-C1-061-DH-012,MOB-C1-059-DH-010 X RHM-C1-061-DH-012,170,80,538.82,2815.39,80241.12,3.255578632,63,69,6,16.214,8.6,1.68,41.6,5.6,80,111.5,51.5,459380,326.67,66,28,94,11.7,0,0,127.4,86.6,5,38.4,14,23.33333333, ,0.01675869,1938.181635
MF400,2,9,23,MOB-C1-059-DH-010,RHM-C1-061-DH-012,MOB-C1-059-DH-010 X RHM-C1-061-DH-012,160, ,516.11,2696.74,59743.95,3.15155806,64,66,2,18.22,9.16,2.1,38.98,5.8,82,106,46,399832,280.72,68,6,95,7.37,4.21,1.05,141.8,125.6,4,41.8,11.6,24.2, ,0.02370316,2770.488735
MF400,3,20,23,MOB-C1-059-DH-010,RHM-C1-061-DH-012,MOB-C1-059-DH-010 X RHM-C1-061-DH-012,170,92,573.95,2998.96,63847.38,3.541640242,61,67,6,16.098,8.453333333,1.95,38.43,6.75,75,106,52,413400,309.75,67,2,96,10.42,2.08,0,139.6,117.75,4,41,14.75,21, ,0.020414376,2411.203604
MF400,1,14,24,MOB-C1-059-DH-003,RHM-C1-061-DH-007,MOB-C1-059-DH-003 X RHM-C1-061-DH-007,179,96,549.7,2872.22,25330.96,3.321296021,65,67,2,16.976,8.483333333,2.42,37.7,8.4,73,108,48.5,382374,306.72,65,16,94,11.7,0,3.19,120.4,102.4,5,42.2,14.2,21.6,59.02834008,0.05251712,6073.727385
MF400,2,6,24,MOB-C1-059-DH-003,RHM-C1-061-DH-007,MOB-C1-059-DH-003 X RHM-C1-061-DH-007,190,105,566.58,2960.45,34711.07,3.605417961,63,67,4,17.805,8.383333333,1.98,36.38,8,78,100,56.5,440700,311.25,63,8,99,9.09,0,15.15,127,102.4,3,41,15,20.75,57.84248521,0.03907029,4758.919645
MF400,3,12,24,MOB-C1-059-DH-003,RHM-C1-061-DH-007,MOB-C1-059-DH-003 X RHM-C1-061-DH-007,172,101,587.31,3068.74,48874.37,3.548537609,64,66,2,17.924,8.336666667,2.02,36.08,8.2,69,103,46.5,330475.5,393.12,66,10,94,11.7,0,0,124.2,104.8,3,43.6,16.8,23.4, ,0.032716412,3783.729386
MF400,1,17,25,MOB-C1-059-DH-010,RHM-C1-036-DH-048,MOB-C1-059-DH-010 X RHM-C1-036-DH-048,162,88,536.78,2804.75,41026.3,3.174267177,62,66,4,15.809,7.346666667,2.64,37.86,7,82.5,104.5,44.5,383645.63,352.24,66,88,92,5.43,25,4.35,106.2,87.4,8,42.2,14.8,23.8, ,0.033363378,3776.45568
MF400,2,20,25,MOB-C1-059-DH-010,RHM-C1-036-DH-048,MOB-C1-059-DH-010 X RHM-C1-036-DH-048,169,90,564.69,2950.58,23640.14,3.448203545,60,62,2,16.282,7.893333333,2.3,39.3,5,81.5,109.5,43,383742.75,307.44,65,48,95,6.32,5.26,3.16,127.8,102.6,4,42.4,12.6,24.4,55.9008284,0.0619667,7242.833714
MF400,3,14,25,MOB-C1-059-DH-010,RHM-C1-036-DH-048,MOB-C1-059-DH-010 X RHM-C1-036-DH-048,168,90,607.48,3174.14,30094.83,3.826614283,61,65,4,16.268,8.46,1.92,36.38,7.2,78.5,119,39,364318.5,390.72,63,46,98,5.1,30.61,2.04,144.6,111.4,5,47.4,14.8,26.4,50.33609467,0.045880466,5531.977922
MF400,1,13,26,MOB-C1-007-SSD-009,MOB-C1-036-DH-009,MOB-C1-007-SSD-009 X MOB-C1-036-DH-009,210,105,576.65,3013.04,38386.85,3.521194537,67,70,3,18.597,6.87,2.74,37.82,12.6,63.5,111,41.5,292512.75,587.84,65,38,95,8.42,0,0,151.8,129.8,9,44.2,17.6,33.4, ,0.038969343,4554.84113
MF400,2,12,26,MOB-C1-007-SSD-009,MOB-C1-036-DH-009,MOB-C1-007-SSD-009 X MOB-C1-036-DH-009,196,99,616.49,3221.2,47917.64,3.96260074,65,69,4,18.037,7.91,1.82,35.8,13.6,69,98,46,311052,341,62,46,100,12,1,0,120.6,99.8,7,38.2,15.5,22,55.60236686,0.03201132,3938.493472
MF400,3,16,26,MOB-C1-007-SSD-009,MOB-C1-036-DH-009,MOB-C1-007-SSD-009 X MOB-C1-036-DH-009,190,93,624.94,3265.37,36788.08,3.454565269,65,69,4,18.421,7.253333333,1.94,35.24,12.4,65,101.5,49.5,326576.25,411.84,63,72,86,5.81,0,3.49,121.8,111,6,39.8,17.6,23.4,56.76213018,0.045871699,4853.665275
MF400,1,13,27,MOB-C1-007-SSD-006,MOB-C1-036-DH-008,MOB-C1-007-SSD-006 X MOB-C1-036-DH-008,203,105,559.18,2921.79,83280.52,3.558328519,69,73,4,20.665,7.573333333,2.14,34.54,9.2,79.5,99,49,385654.5,352,65,100,99,9.09,2.02,3.03,95,73.4,5,31.4,14.66666667,24, ,0.018482445,2251.236713
MF400,2,15,27,MOB-C1-007-SSD-006,MOB-C1-036-DH-008,MOB-C1-007-SSD-006 X MOB-C1-036-DH-008,185,90,544.28,2843.92,46271.35,3.148629164,68,72,4,18.374,8.016666667,1.98,33.96,10.8,75,111.5,45,376312.5,310.5,67,33,90,8.89,0,0,112,99.25,7,42.25,13.5,23, ,0.032209729,3566.614135
